2020 Tract,ID,Population,Households,Male,Female,Employed,Unemployed,NLF,No education,Primary,Secondary,Graduate,Gen Z,Millennial,Gen X,Baby Boomer,Silent,Poverty Level,Low,Lower Middle,Median,Middle Middle,Upper Middle,High,HH Size,HH Num Kids
189400,CT-1894,2784,1531,0.52305,0.47695,0.785,0.075,0.14,0.00166,0.00498,0.03156,0.96179,0.18578,0.25034,0.32143,0.21394,0.0285,0.074,0.039,0.035,0.048,0.086,0.201,0.517,2.04,0.34
189501,CT-1895.01,2045,1394,0.53419,0.46581,0.898,0.126,-0.024,0,0,0.09874,0.90126,0.06,0.3761,0.29463,0.25122,0.01805,0.0982,0.16232,0.13327,0.18637,0.13327,0.11523,0.17134,1.56,0.12
189502,CT-1895.02,2049,1331,0.49683,0.50317,0.795,0.136,0.069,0.00479,0.01489,0.19096,0.78936,0.12055,0.44851,0.19522,0.2162,0.01952,0.272,0.028,0.143,0.221,0.139,0.137,0.06,1.53,0
189600,CT-1896,3524,1985,0.52105,0.47895,0.783,0.046,0.171,0.00185,0.00524,0.20308,0.78983,0.15469,0.34424,0.28257,0.20322,0.01528,0.115,0.115,0.071,0.233,0.13,0.099,0.237,1.91,0.2
189702,CT-1897.02,2282,1392,0.48481,0.51519,0.759,0.13,0.111,0,0,0.1378,0.8622,0.09774,0.34144,0.26761,0.22621,0.06701,0.159,0.07,0.029,0.164,0.207,0.099,0.272,1.74,0.15
189703,CT-1897.03,1763,1028,0.46436,0.53564,0.709,0.011,0.28,0.00571,0.01714,0.14095,0.83619,0.13149,0.30135,0.29966,0.21896,0.04853,0.174,0.032,0.092,0.11,0.05,0.156,0.386,1.83,0.11
189704,CT-1897.04,1174,752,0.45751,0.54249,0.617,0.055,0.328,0.00274,0.0073,0.125,0.86496,0.22845,0.23348,0.23132,0.14511,0.16164,0.174,0.044,0.019,0.145,0.077,0.13,0.411,1.96,0.43
189801,CT-1898.01,1756,1248,0.49429,0.50571,0.777,0.058,0.165,0,0,0.04564,0.95436,0.08343,0.33536,0.24862,0.27017,0.06243,0.158,0.077,0.038,0.2,0.15,0.098,0.279,1.47,0.08
189802,CT-1898.02,1923,1192,0.54356,0.45644,0.716,0.132,0.152,0,0,0.10942,0.89058,0.09899,0.3598,0.28492,0.12965,0.12663,0.26527,0.04404,0.07007,0.3023,0.09009,0.06907,0.15916,1.73,0.21
189903,CT-1899.03,2120,1606,0.61503,0.38497,0.775,0.106,0.119,0,0,0.09302,0.90698,0.08462,0.38569,0.24778,0.18747,0.09444,0.161,0.094,0.098,0.105,0.118,0.251,0.173,1.36,0.04
189904,CT-1899.04,2308,1503,0.47313,0.52687,0.812,0.068,0.12,0.01356,0.04116,0.13377,0.81151,0.11612,0.47357,0.2474,0.13518,0.02773,0.198,0.08,0.117,0.305,0.055,0.119,0.126,1.58,0.05
189905,CT-1899.05,2222,1426,0.62486,0.37514,0.837,0.012,0.151,0.00138,0.00459,0.06979,0.92424,0.14029,0.42537,0.23695,0.14845,0.04894,0.14314,0.05405,0.1001,0.22422,0.10911,0.14515,0.22422,1.81,0.3
189906,CT-1899.06,2608,1422,0.54897,0.45103,0.851,0.079,0.07,0,0,0.0733,0.9267,0.12649,0.58068,0.19969,0.07934,0.0138,0.114,0.079,0.129,0.233,0.103,0.145,0.197,1.85,0.02
189907,CT-1899.07,2097,1417,0.46361,0.53639,0.818,0.076,0.106,0.00154,0.00463,0.16915,0.82468,0.13349,0.45358,0.27621,0.08499,0.05173,0.23477,0.12388,0.03996,0.13586,0.21179,0.16783,0.08591,1.71,0.25
190101,CT-1901.01,1602,1245,0.57108,0.42892,0.775,0.171,0.054,0.00894,0.02602,0.23821,0.72683,0.27374,0.40321,0.16893,0.13872,0.01541,0.38062,0.13487,0.11688,0.13686,0.06793,0.13187,0.03097,1.31,0.04
190102,CT-1901.02,2646,1465,0.51915,0.48085,0.898,0.082,0.02,0.00878,0.02593,0.11083,0.85445,0.14895,0.5146,0.20696,0.09543,0.03406,0.21978,0.03796,0.06294,0.27572,0.08492,0.21179,0.10689,1.84,0.05
190201,CT-1902.01,2633,1387,0.51537,0.48463,0.631,0.123,0.246,0.01983,0.05895,0.20043,0.72079,0.36425,0.2892,0.18088,0.08106,0.0846,0.37738,0.19219,0.08809,0.15616,0.08108,0.04905,0.05606,1.76,0.2
190202,CT-1902.02,3130,2286,0.55774,0.44226,0.756,0.061,0.183,0.00668,0.01969,0.17405,0.79958,0.12716,0.47412,0.15463,0.18083,0.06326,0.34535,0.12713,0.14014,0.1031,0.1962,0.04505,0.04304,1.42,0.06
190302,CT-1903.02,2850,1256,0.4201,0.5799,0.703,0.089,0.208,0.01404,0.04175,0.14877,0.79545,0.13246,0.42553,0.17879,0.16712,0.09609,0.253,0.036,0.16,0.202,0.126,0.093,0.13,2.08,0.18
190303,CT-1903.03,2741,1754,0.61368,0.38632,0.748,0.176,0.076,0.02684,0.08014,0.25498,0.63804,0.07589,0.34967,0.34532,0.17466,0.05447,0.34334,0.14314,0.06607,0.2012,0.05105,0.14114,0.05405,1.55,0.06
190401,CT-1904.01,2893,1705,0.42089,0.57911,0.747,0.094,0.159,0.01189,0.03606,0.25508,0.69697,0.14576,0.34461,0.1975,0.21846,0.09368,0.241,0.118,0.148,0.175,0.124,0.113,0.081,1.73,0.08
190402,CT-1904.02,1962,1222,0.49855,0.50145,0.676,0.026,0.298,0.00995,0.02926,0.24927,0.71153,0.17118,0.35291,0.22189,0.19026,0.06376,0.347,0.079,0.099,0.232,0.105,0.123,0.015,1.69,0.14
190510,CT-1905.1,3211,1591,0.5017,0.4983,0.701,0.09,0.209,0.02009,0.06028,0.30142,0.6182,0.25304,0.30895,0.21971,0.19317,0.02513,0.31668,0.08891,0.10989,0.23576,0.12687,0.06294,0.05894,2.37,0.45
190520,CT-1905.2,3346,1556,0.53933,0.46067,0.677,0.095,0.228,0.0289,0.08638,0.31262,0.57209,0.18698,0.30055,0.2349,0.22548,0.05208,0.34535,0.07307,0.15015,0.17417,0.1031,0.08609,0.06807,2.65,0.55
190701,CT-1907.01,1485,929,0.51152,0.48848,0.562,0.078,0.36,0.0126,0.03855,0.19941,0.74944,0.15977,0.25971,0.23552,0.27944,0.06556,0.4026,0.05894,0.16484,0.17882,0.0989,0.03596,0.05994,1.69,0.22
190702,CT-1907.02,1090,749,0.53505,0.46495,0.878,0.117,0.005,0.01323,0.04064,0.10208,0.84405,0.07685,0.4141,0.3047,0.1311,0.07324,0.208,0.121,0.049,0.263,0.071,0.194,0.094,1.5,0.06
190801,CT-1908.01,2519,1217,0.50582,0.49418,0.531,0.212,0.257,0.01317,0.04007,0.28506,0.66171,0.3522,0.20441,0.16147,0.16603,0.11588,0.451,0.107,0.052,0.173,0.098,0.042,0.077,1.76,0.2
190802,CT-1908.02,2896,1419,0.50863,0.49137,0.664,0.074,0.262,0.02795,0.08424,0.22632,0.66149,0.16845,0.32754,0.28409,0.17279,0.04713,0.24152,0.07485,0.07285,0.23952,0.19461,0.13373,0.04291,2.14,0.15
190901,CT-1909.01,3768,1336,0.55721,0.44279,0.706,0.062,0.232,0.05481,0.16443,0.33946,0.4413,0.23425,0.34719,0.22096,0.18356,0.01403,0.363,0.118,0.085,0.171,0.076,0.144,0.043,3.02,0.54
190902,CT-1909.02,3319,1573,0.56024,0.43976,0.686,0.043,0.271,0.01699,0.0506,0.45824,0.47417,0.24293,0.3178,0.20826,0.19745,0.03356,0.31031,0.0961,0.09009,0.22022,0.13914,0.11011,0.03403,2.39,0.4
191000,CT-1910,4404,2811,0.62715,0.37285,0.841,0.092,0.067,0.01378,0.04109,0.16616,0.77897,0.18819,0.43933,0.26221,0.0801,0.03017,0.21,0.055,0.085,0.158,0.177,0.181,0.134,1.69,0.19
191110,CT-1911.1,3481,1093,0.47386,0.52614,0.434,0.055,0.511,0.02152,0.06425,0.41142,0.50281,0.11228,0.26935,0.16558,0.3649,0.08789,0.429,0.013,0.131,0.235,0.083,0.094,0.015,2.04,0.16
191120,CT-1911.2,3193,1637,0.56618,0.43382,0.679,0.16,0.161,0.0344,0.10286,0.26124,0.6015,0.19258,0.35292,0.19087,0.18516,0.07846,0.37538,0.13614,0.14214,0.14414,0.06707,0.06406,0.07107,2.16,0.35
191201,CT-1912.01,4759,1732,0.44792,0.55208,0.723,0.079,0.198,0.01241,0.03747,0.41639,0.53372,0.15304,0.32019,0.17327,0.28872,0.06477,0.316,0.125,0.145,0.146,0.119,0.088,0.061,2.19,0.23
191203,CT-1912.03,2130,1056,0.56012,0.43988,0.723,0.16,0.117,0.01221,0.03718,0.46337,0.48724,0.19215,0.2597,0.19717,0.27932,0.07166,0.45045,0.14715,0.08008,0.1021,0.06507,0.05205,0.1031,2.16,0.24
191204,CT-1912.04,1466,790,0.50558,0.49442,0.677,0.063,0.26,0.01857,0.05646,0.27043,0.65453,0.15548,0.32387,0.16839,0.26903,0.08323,0.328,0.096,0.154,0.2,0.103,0.061,0.058,2.14,0.33
191301,CT-1913.01,2021,952,0.45302,0.54698,0.653,0.021,0.326,0.02876,0.08686,0.2555,0.62888,0.21614,0.35522,0.18513,0.15321,0.09029,0.315,0.095,0.096,0.122,0.103,0.155,0.114,2.43,0.33
191302,CT-1913.02,1687,824,0.54832,0.45168,0.75,0.074,0.176,0.02095,0.06355,0.30726,0.60824,0.22279,0.40158,0.2194,0.1269,0.02933,0.173,0.131,0.192,0.211,0.073,0.127,0.093,2.24,0.28
191410,CT-1914.1,3373,1460,0.55767,0.44233,0.702,0.084,0.214,0.02312,0.0697,0.38966,0.51751,0.21251,0.32374,0.23215,0.17543,0.05617,0.23676,0.15784,0.16683,0.18082,0.06593,0.0959,0.0959,2.47,0.41
191420,CT-1914.2,3277,1151,0.56869,0.43131,0.809,0.051,0.14,0.04055,0.12131,0.36393,0.47421,0.22841,0.41894,0.18881,0.16385,0,0.11512,0.2032,0.05706,0.22222,0.14314,0.13013,0.12913,3.21,0.46
191500,CT-1915,5149,1830,0.47638,0.52362,0.643,0.074,0.283,0.03166,0.09521,0.35306,0.52007,0.24042,0.29779,0.23107,0.18324,0.04747,0.1988,0.08392,0.12687,0.22777,0.11788,0.13387,0.11089,3.21,0.54
191610,CT-1916.1,3285,1348,0.44397,0.55603,0.765,0.063,0.172,0.03692,0.11043,0.33198,0.52066,0.21788,0.38514,0.1912,0.17827,0.02751,0.25025,0.09309,0.17718,0.18218,0.13914,0.08509,0.07307,2.94,0.62
191620,CT-1916.2,2063,1080,0.51154,0.48846,0.642,0.121,0.237,0.03393,0.10234,0.30645,0.55729,0.2305,0.30454,0.20053,0.15117,0.11327,0.406,0.215,0.057,0.179,0.079,0.044,0.02,2.37,0.55
191710,CT-1917.1,2401,1206,0.48404,0.51596,0.632,0.076,0.292,0.07609,0.22877,0.38979,0.30535,0.20088,0.27963,0.17035,0.29128,0.05785,0.44645,0.1952,0.09009,0.15916,0.04004,0.05506,0.01401,2.18,0.3
191720,CT-1917.2,2679,1254,0.58696,0.41304,0.727,0.039,0.234,0.04795,0.14342,0.47734,0.33128,0.25621,0.29752,0.22565,0.19241,0.02821,0.348,0.192,0.122,0.164,0.072,0.102,0,2.6,0.55
191810,CT-1918.1,2760,1190,0.54423,0.45577,0.786,0.077,0.137,0.0523,0.15646,0.30711,0.48413,0.2561,0.36576,0.27913,0.0856,0.01341,0.23323,0.16116,0.14515,0.24525,0.13714,0.01301,0.06507,2.68,0.51
191820,CT-1918.2,3300,1754,0.51563,0.48437,0.806,0.064,0.13,0.01223,0.03632,0.24919,0.70227,0.21733,0.42637,0.15494,0.13838,0.06298,0.17066,0.12675,0.09182,0.18164,0.07884,0.22655,0.12375,2.06,0.22
191901,CT-1919.01,3023,1885,0.53848,0.46152,0.811,0.057,0.132,0.01041,0.03086,0.19986,0.75888,0.16761,0.51289,0.21572,0.06478,0.03899,0.22378,0.11788,0.13786,0.23477,0.08791,0.12288,0.07493,1.81,0.22
191902,CT-1919.02,2464,1476,0.5117,0.4883,0.828,0.018,0.154,0.00045,0.00089,0.11838,0.88028,0.17418,0.38732,0.22574,0.16081,0.05195,0.2,0.014,0.055,0.109,0.163,0.19,0.269,1.88,0.26
192001,CT-1920.01,2020,1075,0.51109,0.48891,0.72,0.076,0.204,0.00748,0.02298,0.1566,0.81293,0.13362,0.37931,0.22845,0.14943,0.1092,0.175,0.103,0.092,0.153,0.139,0.075,0.263,1.81,0.21
192002,CT-1920.02,2503,1339,0.5313,0.4687,0.763,0.081,0.156,0.00341,0.00979,0.12601,0.86079,0.12645,0.37857,0.22822,0.17155,0.09522,0.16084,0.06294,0.03996,0.06593,0.10589,0.16683,0.3976,1.95,0.19
192300,CT-1923,2274,1334,0.47405,0.52595,0.817,0.091,0.092,0.00046,0.00137,0.16269,0.83547,0.08658,0.38831,0.2,0.26017,0.06494,0.226,0.082,0.045,0.119,0.076,0.118,0.334,1.82,0.13
192410,CT-1924.1,3537,1812,0.43862,0.56138,0.688,0.071,0.241,0.00346,0.01005,0.16557,0.82092,0.15083,0.29264,0.25623,0.19737,0.10293,0.188,0.061,0.057,0.119,0.116,0.153,0.306,2.21,0.3
192420,CT-1924.2,3352,1371,0.49582,0.50418,0.748,0.038,0.214,0.03015,0.09081,0.28506,0.59397,0.22269,0.37736,0.22354,0.14423,0.03218,0.085,0.147,0.148,0.212,0.141,0.123,0.144,2.87,0.5
192510,CT-1925.1,3183,1267,0.53303,0.46697,0.694,0.055,0.251,0.03466,0.10434,0.33648,0.52451,0.20788,0.28077,0.30658,0.18037,0.02439,0.245,0.07,0.136,0.209,0.118,0.15,0.072,3.13,0.66
192520,CT-1925.2,4335,1638,0.48889,0.51111,0.73,0.092,0.178,0.04235,0.12706,0.4784,0.35219,0.28604,0.30446,0.19481,0.19418,0.02051,0.138,0.095,0.305,0.173,0.14,0.1,0.049,3.32,0.78
192610,CT-1926.1,3152,1433,0.52423,0.47577,0.728,0.085,0.187,0.02675,0.08026,0.3896,0.50339,0.25638,0.3875,0.16251,0.1628,0.0308,0.208,0.175,0.218,0.216,0.073,0.073,0.037,2.59,0.48
