Unnamed: 0,customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,labels,class
11662,3939,11662,0.1119402985074627,1.61,7,12,13.98,28.71,42.6,2.53,0.0,0.0,0.0,12.18,3,5
11663,3939,11663,0.05223880597014926,25.11,1,22,7.66,7.88,60.32,0.0,5.88,0.0,0.0,18.27,1,1
11664,3939,11664,0.05223880597014926,0.0,7,20,57.11,19.87,0.0,3.86,0.0,0.0,0.0,19.16,3,5
11665,3939,11665,0.11940298507462688,4.29,4,17,12.35,41.96,18.94,6.16,0.0,0.0,0.0,20.58,5,6
11666,3939,11666,0.15671641791044777,15.27,1,18,28.84,12.47,28.78,0.0,0.0,0.0,0.0,29.91,8,9
11667,3939,11667,0.08208955223880599,4.22,1,8,35.65,25.06,22.09,0.0,0.0,0.0,0.0,17.2,2,7
11668,3939,11668,0.08208955223880599,8.82,6,8,5.45,21.79,57.55,0.0,6.31,0.0,0.0,8.9,1,1
11669,3939,11669,0.1119402985074627,9.59,1,19,19.7,0.0,56.83,0.0,0.0,0.0,0.0,23.46,8,9
11670,3939,11670,0.05223880597014926,15.12,1,19,6.95,11.77,1.71,64.73,0.0,0.0,0.0,14.84,4,4
11671,3939,11671,0.1417910447761194,3.9,6,12,15.37,28.55,36.8,4.35,0.0,0.0,0.0,14.93,3,5
11672,3939,11672,0.13432835820895522,7.22,6,12,17.99,19.21,40.45,22.35,0.0,0.0,0.0,0.0,3,5
11673,3939,11673,0.07462686567164178,13.22,6,10,8.41,23.86,56.0,0.0,0.0,0.0,0.0,11.74,1,1
11674,3940,11674,0.15671641791044777,1.8,3,20,59.8,0.0,40.2,0.0,0.0,0.0,0.0,0.0,2,7
11675,3940,11675,0.15671641791044777,0.0,1,18,17.76,0.0,75.89,6.36,0.0,0.0,0.0,0.0,1,1
11676,3941,11676,0.20149253731343283,0.27,7,23,29.51,38.34,32.16,0.0,0.0,0.0,0.0,0.0,3,5
11677,3941,11677,0.08955223880597016,46.67,2,10,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6
11678,3942,11678,0.02238805970149254,39.12,7,11,2.48,0.0,0.0,97.52,0.0,0.0,0.0,0.0,4,4
11679,3942,11679,0.08208955223880599,42.41,7,11,14.8,0.0,0.0,55.44,29.76,0.0,0.0,0.0,0,0
11680,3942,11680,0.06716417910447761,40.54,6,19,17.99,0.0,0.0,78.66,3.35,0.0,0.0,0.0,4,4
11681,3942,11681,0.07462686567164178,45.78,6,20,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0
11682,3943,11682,0.26865671641791045,0.28,1,19,37.35,22.09,17.3,3.0,11.83,0.0,8.43,0.0,2,7
11683,3943,11683,0.22388059701492538,31.94,1,22,15.64,40.95,18.09,25.32,0.0,0.0,0.0,0.0,5,6
11684,3943,11684,0.3134328358208955,25.14,3,10,33.96,29.16,32.88,4.01,0.0,0.0,0.0,0.0,2,7
11685,3944,11685,0.20149253731343283,6.32,1,14,17.86,0.0,22.92,0.0,7.52,0.0,51.7,0.0,6,8
11686,3944,11686,0.25373134328358204,9.71,2,19,0.0,0.0,27.78,0.0,9.17,0.0,63.05,0.0,6,8
11687,3944,11687,0.26865671641791045,2.66,1,23,27.33,0.0,33.93,0.0,15.83,0.0,22.91,0.0,2,7
11688,3945,11688,0.029850746268656712,23.71,1,18,0.0,0.0,36.95,63.05,0.0,0.0,0.0,0.0,4,4
11689,3945,11689,0.5746268656716418,8.54,6,17,49.28,0.0,26.84,11.04,12.84,0.0,0.0,0.0,3,5
11690,3945,11690,0.4626865671641791,9.14,4,22,34.35,0.0,42.88,19.04,3.72,0.0,0.0,0.0,2,7
11691,3946,11691,0.22388059701492538,11.38,7,9,42.74,14.21,14.41,17.97,2.09,0.0,8.58,0.0,3,5
11692,3946,11692,0.20149253731343283,0.0,7,19,24.94,13.43,15.63,10.89,35.11,0.0,0.0,0.0,0,0
